[2025-10-14T23:12:17.938+0530][0.791s][info][gc,heap     ] GC(2) Survivor regions: 1->1(8)
[2025-10-14T23:12:17.938+0530][0.791s][info][gc,heap     ] GC(2) Old regions: 0->0
[2025-10-14T23:12:17.938+0530][0.791s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[2025-10-14T23:12:17.938+0530][0.791s][info][gc,metaspace] GC(2) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:17.938+0530][0.791s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 61M->0M(512M) 2.103ms
[2025-10-14T23:12:17.938+0530][0.791s][info][gc,cpu      ] GC(2) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:18.393+0530][1.246s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:18.393+0530][1.246s][info][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.22ms
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.10ms
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 1.21ms
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.59ms
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,phases   ] GC(3)   Other: 0.20ms
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,heap     ] GC(3) Eden regions: 81->0(113)
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,heap     ] GC(3) Survivor regions: 1->1(11)
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,heap     ] GC(3) Old regions: 0->0
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,metaspace] GC(3) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:18.396+0530][1.248s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 81M->0M(512M) 2.740ms
[2025-10-14T23:12:18.396+0530][1.248s][info][gc,cpu      ] GC(3) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:18.956+0530][1.808s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:18.956+0530][1.808s][info][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.19ms
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.08ms
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 0.89ms
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.37ms
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,phases   ] GC(4)   Other: 0.11ms
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,heap     ] GC(4) Eden regions: 113->0(147)
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,heap     ] GC(4) Survivor regions: 1->1(15)
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,heap     ] GC(4) Old regions: 0->0
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[2025-10-14T23:12:18.958+0530][1.810s][info][gc,metaspace] GC(4) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:18.958+0530][1.811s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 113M->0M(512M) 2.144ms
[2025-10-14T23:12:18.958+0530][1.811s][info][gc,cpu      ] GC(4) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:19.669+0530][2.522s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:19.669+0530][2.522s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:19.670+0530][2.523s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.18ms
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.08ms
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 0.88ms
